Alameda,"37,2077870,-4,6581453"
Alcaucin,"36.9043844808312,-4.1301718570"
Alfarnate,"36.9888854025488,-4.2542294261"
Alfarnatejo,"36.9660173186309,-4.2635318005"
Algarrobo,"36.7607314316932,-4.0450602259"
Algatocin,"36.575095809672,-5.28317316049"
Alhaurin-de-la-Torre,"36.6718834202746,-4.5679697738"
Alhaurin-el-Grande,"36.6423851897924,-4.6907868796"
Almachar,"36.8087242,-4.2173284"
Almargen,"37.0237959948334,-5.0144108073"
Almogia,"36.8362936368303,-4.5332563706"
Alora,"36.8366757998857,-4.7037755713"
Alozaina,"36.7383195331784,-4.8641290185"
Alpandeire,"36.6464132247266,-5.2232595433"
Antequera,"37.0548852510426,-4.5928281775"
Archez,"36.8270092848641,-3.9951508939"
Archidona,"37.099453190792,-4.38851560153"
Ardales,"36.8898743273109,-4.8368476731"
Arenas,"36.816677,-4.0471342"
Arriate,"36.7973541352046,-5.1369926552"
Atajate,"36.6465680796357,-5.2420650448"
Benadalid,"36.6149246044478,-5.2674450215"
Benahavis,"36.5635953710525,-5.0422173841"
Benalauria,"36.5844678519834,-5.3022639993"
Benalmadena,"36.5897530862559,-4.5421327809"
Benamargosa,"36.8451007520181,-4.1957014391"
Benamocarra,"36.790217000208,-4.16424235057"
Benaojan,"36.7086665317906,-5.2565809268"
Benarraba,"36.5490854537034,-5.3047204372"
Borge-El,"36.8144806,-4.2345986"
Burgo-El,"36.8039356822714,-4.9369838534"
Campillos,"37.0029527901888,-4.8540957096"
Canete-la-Real,"36.9570089302833,-5.0433218416"
Canillas-de-Aceituno,"36.8641103763851,-4.1008872008"
Canillas-de-Albaida,"36.8503886398044,-3.9793681255"
Carratraca,"36.8468003472164,-4.8217895045"
Cartajima,"36.6527142829085,-5.1511289397"
Cartama,"36.7439962299026,-4.6679571363"
Casabermeja,"36.866055199273,-4.42680589618"
Casarabonela,"36.8017823726424,-4.8290976842"
Casares,"36.4308833487603,-5.2692204225"
Coin,"36.6744990801695,-4.7661059513"
Colmenar,"36.9136040990183,-4.3211654615"
Comares,"36.8555548388787,-4.2619849681"
Competa,"36.8328845,-3.9752796"
Cortes-de-la-Frontera,"36.616913,-5.3425879"
Cuevas-Bajas,"37.2300103047166,-4.4793112421"
Cuevas-de-San-Marcos,"37.2607230038989,-4.4269460174"
Cuevas-del-Becerro,"36.8772969806384,-5.0386300213"
Cutar,"36.8654531947358,-4.2242237674"
Estepona,"36.4454332345383,-5.1273913259"
Farajan,"36.6124468497466,-5.1965715470"
Frigiliana,"36.7904071,-3.8946592"
Fuengirola,"36.5514938222835,-4.6120551668"
Fuente-de-Piedra,"37.1259042225459,-4.7510660088"
Gaucin,"36.5131293883127,-5.3436405286"
Genalguacil,"36.5263133183844,-5.2322431797"
Guaro,"36.6740548239202,-4.8373058526"
Humilladero,"37.1332579667016,-4.6871220062"
Igualeja,"36.624797493798,-5.09594994384"
Istan,"36.5801242,-4.9477549"
Iznate,"36.7848126009216,-4.1879015234"
Jimera-de-Libar,"36.6520122871962,-5.2806885364"
Jubrique,"36.5684910498035,-5.2186695579"
Juzcar,"36.625533,-5.1708862"
Macharaviaya,"36.7687108440945,-4.2215769506"
Malaga,"36.7203687,-4.4150247"
Manilva,"36.3487809196413,-5.2521294264"
Marbella,"36.4997747284402,-4.8842120341"
Mijas,"36.5350704417103,-4.6735474359"
Moclinejo,"36.7672828325886,-4.2608153335"
Mollina,"37.1378450537172,-4.6412797700"
Monda,"36.6250181467817,-4.8475735297"
Montejaque,"36.7284111729776,-5.2851863065"
Nerja,"36.7454539,-3.8767955"
Ojen,"36.563932,-4.8570832"
Parauta,"36.6656851910272,-5.0820901949"
Periana,"36.9344524266528,-4.1868842456"
Pizarra,"36.7692072478151,-4.7013889479"
Pujerra,"36.6118881,-5.1527581"
Rincon-de-la-Victoria,"36.7245684036249,-4.2710127862"
Riogordo,"36.9212999990663,-4.2859650848"
Ronda,"36.7369584,-5.1648491"
Salares,"36.8572473961815,-4.0155246251"
Sayalonga,"36.7978697805915,-4.0054789806"
Sedella,"36.863032,-4.0350992"
Sierra-de-Yeguas,"37.1616919343317,-4.8654806491"
Teba,"36.9724839411986,-4.9059021505"
Tolox,"36.6754095576812,-4.9374076740"
Torremolinos,"36.6238677769039,-4.5045827340"
Torrox,"36.7579665320365,-3.9585537837"
Totalan,"36.7601646256474,-4.2928930199"
Valle-de-Abdalajis,"36.9387373481701,-4.6704258609"
Velez-Malaga,"36.781456,-4.1042865"
Villanueva-de-Algaidas,"37.1858158,-4.4506723"
Villanueva-de-Tapia,"37.1856076877034,-4.3424655677"
Villanueva-del-Rosario,"37.0099166323718,-4.3779554576"
Villanueva-del-Trabuco,"37.0279935,-4.3387437"
Vinuela,"36.8615820335835,-4.1453074070"
Yunquera,"36.7354267885242,-4.9271544535"
